gtstation_name,ellipsoidheight,ORIGIN,STATUS,longitude,latitude,state,gdc_username
MANIKNATH H.S,2465.9047,,NOT SHIFTED,78.663,30.369,Uttarakhand,Uttarakhand  Geo-spatial Directorate
KINKWALA,1986.7099,,NOT SHIFTED,78.755,30.157,Uttarakhand,Uttarakhand  Geo-spatial Directorate
KEDARNATH H.S,3489.7379,,NOT SHIFTED,79.069,30.73,Uttarakhand,Uttarakhand  Geo-spatial Directorate
BADRINATH T.S,3131.7375,,NOT SHIFTED,79.5,30.761,Uttarakhand,Uttarakhand  Geo-spatial Directorate
AULI H.S,2935.1086,,NOT SHIFTED,79.559,30.533,Uttarakhand,Uttarakhand  Geo-spatial Directorate
GWANAGARH H.S,2957.5628,,NOT SHIFTED,79.088,30.215,Uttarakhand,Uttarakhand  Geo-spatial Directorate
CHORKHARAK H.S,2681.6135,,NOT SHIFTED,79.558,30.094,Uttarakhand,Uttarakhand  Geo-spatial Directorate
RAGSI H.S,3044.153,,NOT SHIFTED,79.166,30.446,Uttarakhand,Uttarakhand  Geo-spatial Directorate
KALLA,191.508,,NOT SHIFTED,75.027,31.436,Punjab,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
GUMBAR H.S,1092.5521,,NOT SHIFTED,76.298,31.921,Himachal Pradesh,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
SOLASINGI H.S,1103.4995,,NOT SHIFTED,76.381,31.621,Himachal Pradesh,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
HAWAN H.S,1292.5226,,NOT SHIFTED,76.76,31.483,Himachal Pradesh,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
